model,pooled_rho,dl_lo,dl_hi,hk_lo,hk_hi,I2,k
M1_enet,0.7730001554422319,0.7397495534023495,0.8024848365956104,0.7292271121744601,0.8104724485969708,59.871297713455405,7
single:pangolin,0.7612635290099382,0.7291920687834971,0.7899980754377713,0.7195365701258422,0.7975134504366499,53.523622525016926,7
M2_gbt,0.7588866916502582,0.73836047859414,0.77800821859108,0.734485222422952,0.7813283307166682,0.0,7
single:spliceai,0.752989451097926,0.7182273979755371,0.7840020530028751,0.7078164569718857,0.7920289601967296,57.79163634469457,7
M0b_mean,0.7506269248883631,0.7222896647369041,0.7764479969800988,0.714058128672722,0.7831107515974172,37.812725953580326,7
single:alphagenome,0.7501702945512349,0.7143520294730983,0.782068149527228,0.7023330151899876,0.7912624375075139,59.372236180515344,7
single:cadd,0.6941763002333641,0.6535219327247876,0.7308369496915651,0.647424638710508,0.7357231482886136,52.70970044924553,7
single:gpn_msa,0.6654599318084646,0.638614357002643,0.6906877192204763,0.6406023510630098,0.6889242396728648,0.0,7
single:phylop,0.6390450311607245,0.6073508236028029,0.6687082140646193,0.5997105742286689,0.6752988252516934,14.925685400346369,7
single:phastcons,0.6122164589462382,0.5632667842397144,0.6568839648092588,0.5476275811513839,0.6695525027613459,56.679239842427776,7
single:nt,0.49423266409160066,0.3735624483890484,0.598453580148804,0.3670062630687795,0.6033082105763531,89.30673186684623,7
single:gnomad_af,0.1862400195457247,0.06924775443810863,0.2981790129335619,0.039617251850129376,0.3250115877264209,43.94243807629231,7
single:alphamissense,,,,,,,0
