,BRCA2,PALB2,BRCA1,RAD51C,BARD1,VHL,BAP1
alphagenome,0.22108838205628442,0.2034688992301376,0.26320120371531996,0.216689383396456,0.21025978688743566,0.2222817797340629,0.2310235961828558
alphagenome_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alphamissense,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alphamissense_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cadd,0.028385717229780005,0.03330133655918728,0.047872386417486416,0.011035244668735013,0.010436087068690363,0.013686663659841636,0.05089714686731756
cadd_isna,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gnomad_af,0.0,0.025712013347924948,0.0,0.0,0.0,0.0,0.0
gnomad_af_isna,0.003768412197845682,0.006690123639254456,0.0034716717533058773,0.0,-0.0,0.0,-0.0
gpn_msa,0.11100622799919119,0.10282374311597889,0.09808230204475218,0.09948950754325851,0.12382221941167647,0.1158492232185638,0.1144049468542828
gpn_msa_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nt,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
nt_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pangolin,0.20275111193258818,0.1985101265789065,0.2494674582028172,0.25479392849097815,0.21680328277133576,0.23269557372042426,0.1733705532386381
pangolin_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phastcons,0.04907642859583549,0.05516229745065674,0.019257679531534486,0.06292577243073749,0.07681759124072586,0.046109654033138846,0.04233796201286784
phastcons_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phylop,0.03841795990929279,0.03751464222966025,0.0053962048671668955,0.007110948980579446,0.0002039023017891417,0.014451499152702885,0.026208988387504947
phylop_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spliceai,0.17980823372614624,0.21505948510953193,0.1461968204801561,0.18635053581304145,0.1916453115880994,0.1878811526137137,0.1934701937120613
spliceai_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
