object,gene,n,rho
single:spliceai,BRCA2,278,0.7719155524538095
single:spliceai,PALB2,252,0.6743505931103368
single:spliceai,BRCA1,547,0.749995408353205
single:spliceai,RAD51C,171,0.7433460532315743
single:spliceai,BARD1,200,0.8190564764119105
single:spliceai,VHL,59,0.7857977790765636
single:spliceai,BAP1,274,0.7221575504787184
single:pangolin,BRCA2,278,0.7617753008493403
single:pangolin,PALB2,252,0.7282520585829092
single:pangolin,BRCA1,547,0.7448012295421521
single:pangolin,RAD51C,171,0.7216742266061872
single:pangolin,BARD1,200,0.8322568064201606
single:pangolin,VHL,59,0.7512565751022795
single:pangolin,BAP1,274,0.772159519312804
single:alphagenome,BRCA2,278,0.7347262557317323
single:alphagenome,PALB2,252,0.7144087468036553
single:alphagenome,BRCA1,547,0.7312030220932527
single:alphagenome,RAD51C,171,0.7519601890251071
single:alphagenome,BARD1,200,0.8311963384030557
single:alphagenome,VHL,59,0.8006838207140609
single:alphagenome,BAP1,274,0.7101759089684894
single:gpn_msa,BRCA2,278,0.6795999455495402
single:gpn_msa,PALB2,252,0.630240617996226
single:gpn_msa,BRCA1,547,0.6495877512909884
single:gpn_msa,RAD51C,171,0.7136158572985368
single:gpn_msa,BARD1,200,0.6736408750291466
single:gpn_msa,VHL,59,0.7056313746839628
single:gpn_msa,BAP1,274,0.6667219887820417
single:nt,BRCA2,278,0.5096625622525154
single:nt,PALB2,252,0.42296014511500396
single:nt,BRCA1,547,0.25482835929999614
single:nt,RAD51C,171,0.4639882880936953
single:nt,BARD1,200,0.5241026025650642
single:nt,VHL,59,0.6030391583869084
single:nt,BAP1,274,0.6482985627511176
single:cadd,BRCA2,264,0.7380824458219167
single:cadd,PALB2,230,0.6724862181813145
single:cadd,BRCA1,507,0.6277694798586885
single:cadd,RAD51C,160,0.6802305678964033
single:cadd,BARD1,183,0.7560801044480929
single:cadd,VHL,55,0.7305590638039611
single:cadd,BAP1,245,0.6838040486799996
single:gnomad_af,BRCA2,90,0.26401021228098576
single:gnomad_af,PALB2,83,-0.06302130953439496
single:gnomad_af,BRCA1,94,0.1806635263262843
single:gnomad_af,RAD51C,65,0.028831547300418457
single:gnomad_af,BARD1,78,0.24503635505339627
single:gnomad_af,VHL,22,0.4000000638386313
single:gnomad_af,BAP1,94,0.3290147672498776
single:phylop,BRCA2,278,0.6758200310459928
single:phylop,PALB2,252,0.575565870570726
single:phylop,BRCA1,547,0.6052423657010756
single:phylop,RAD51C,171,0.6735233728983105
single:phylop,BARD1,200,0.6675080483208341
single:phylop,VHL,59,0.6909308417667512
single:phylop,BAP1,274,0.6524523397436224
single:phastcons,BRCA2,278,0.6901349756275696
single:phastcons,PALB2,252,0.5454190658018968
single:phastcons,BRCA1,547,0.5903830091768191
single:phastcons,RAD51C,171,0.5793608797072287
single:phastcons,BARD1,200,0.5425276674239816
single:phastcons,VHL,59,0.7203170801237264
single:phastcons,BAP1,274,0.6474077153039937
M1_enet,BRCA2,278,0.7681286669744208
M1_enet,PALB2,252,0.7315042483932144
M1_enet,BRCA1,547,0.759942555476256
M1_enet,RAD51C,171,0.7587899296805626
M1_enet,BARD1,200,0.8535558388959725
M1_enet,VHL,59,0.7800701344243134
M1_enet,BAP1,274,0.75891962052546
M2_gbt,BRCA2,278,0.7654107121670783
M2_gbt,PALB2,252,0.7348852171854595
M2_gbt,BRCA1,547,0.7626081190246585
M2_gbt,RAD51C,171,0.7555263022371759
M2_gbt,BARD1,200,0.7939457774111166
M2_gbt,VHL,59,0.8013268289267136
M2_gbt,BAP1,274,0.7211290085473981
M0b_mean,BRCA2,278,0.7513265620869949
M0b_mean,PALB2,252,0.704403166554561
M0b_mean,BRCA1,547,0.7407264868466644
M0b_mean,RAD51C,171,0.7390668874649003
M0b_mean,BARD1,200,0.8187504687617191
M0b_mean,VHL,59,0.7704850964348335
M0b_mean,BAP1,274,0.7441140967228612
